nombre_campo,longitud,tipo,nemónico,catálogo,rango_claves
"Pregunta A33C.21 Actualmente, ¿cuenta usted con permiso de residencia permanente o es ciudadano de Estados Unidos?",1,C,a33c_21,a33c_21,"1...3,8,9"
Pregunta A35A.21 ¿Asiste usted a servicios religiosos?,1,C,a35a_21,a35a_21,"1,2,8,9"
Pregunta A35B.21 ¿Con qué frecuencia participa usted en las actividades organizadas por la iglesia?,1,C,a35b_21,a35b_21,"1...3,8,9"
"Pregunta A36.21 ¿Qué tan importante es la religión en su vida?, ¿diría que es...?",1,C,a36_21,a36_21,"1...3,8,9"
"Pregunta A37.21 En los últimos 2 años, ¿ha hecho algún trabajo voluntario para organizaciones religiosas, educativas, de caridad o para la comunidad?",1,C,a37_21,a37_21,"1,2,8,9"
"Pregunta A38.1.21 En los últimos 2 años, ¿como cuántas horas le dedicó usted a ese trabajo voluntario? - HORAS",4,C,a38_1_21,a38_1_21,"0001...0400,8888,9999"
"Pregunta A38.2.21 En los últimos 2 años, ¿como cuántas horas le dedicó usted a ese trabajo voluntario? - PERIODO",1,C,a38_2_21,a38_2_21,"1...4,8,9"
Pregunta A39.21 ¿Diría usted que fueron...?,1,C,a39_21,a39_21,"1...3,8,9"
"Pregunta A40.21 A continuación, le voy a mostrar unas figuras de cuerpo",1,C,a40_21,a40_21,"1,2"
Pregunta A40A.21 ¿Qué figura considera que se parece a usted en este momento?,1,C,a40a_21,a40a_21,"A...R,7...9"
"Pregunta A40B.21 Ahora piense por favor cuando usted tenía 50 años, ¿qué figura considera que se parece más a usted a esa edad?",1,C,a40b_21,a40b_21,"A...R,6...9"
"Pregunta A40C.21 Ahora piense por favor cuando usted tenía 20 años, ¿qué figura considera que se parece más a usted a esa edad?",1,C,a40c_21,a40c_21,"A...R,7...9"
Pregunta A41.21 ¿Falleció alguno de sus hijos(as)?,1,C,a41_21,a41_21,"1,2,8,9"
Pregunta A41A.21 ¿Ocurrió esto a causa del COVID-19?,1,C,a41a_21,a41a_21,"1,2,8,9"
Pregunta A41.1.21 ¿En qué año(s)? - 2018,1,C,a41_1_21,a41_1_21,"0,1"
Pregunta A41.2.21 ¿En qué año(s)? - 2019,1,C,a41_2_21,a41_2_21,"0,1"
Pregunta A41.3.21 ¿En qué año(s)? - 2020,1,C,a41_3_21,a41_3_21,"0,1"
Pregunta A41.4.21 ¿En qué año(s)? - 2021,1,C,a41_4_21,a41_4_21,"0,1"
Pregunta A42.21 ¿Se hizo cargo de cuidar a algún familiar enfermo?,1,C,a42_21,a42_21,"1,2,8,9"
Pregunta A42A.21 ¿Ocurrió esto a causa del COVID-19?,1,C,a42a_21,a42a_21,"1,2,8,9"
Pregunta A42.1.21 ¿En qué año(s)? - 2018,1,C,a42_1_21,a42_1_21,"0,1"
Pregunta A42.2.21 ¿En qué año(s)? - 2019,1,C,a42_2_21,a42_2_21,"0,1"
Pregunta A42.3.21 ¿En qué año(s)? - 2020,1,C,a42_3_21,a42_3_21,"0,1"
Pregunta A42.4.21 ¿En qué año(s)? - 2021,1,C,a42_4_21,a42_4_21,"0,1"
"Pregunta A43.21 ¿Ocurrió algún desastre, como un huracán, terremoto, tornado, inundación, incendio, que afectó su vivienda?",1,C,a43_21,a43_21,"1,2,8,9"
Pregunta A43.1.21 ¿En qué año(s)? - 2018,1,C,a43_1_21,a43_1_21,"0,1"
Pregunta A43.2.21 ¿En qué año(s)? - 2019,1,C,a43_2_21,a43_2_21,"0,1"
Pregunta A43.3.21 ¿En qué año(s)? - 2020,1,C,a43_3_21,a43_3_21,"0,1"
Pregunta A43.4.21 ¿En qué año(s)? - 2021,1,C,a43_4_21,a43_4_21,"0,1"
"Pregunta A44.21 ¿Sufrió algún accidente, fue víctima de un crimen, o algún otro evento que afectó su salud o situación familiar?",1,C,a44_21,a44_21,"1,2,8,9"
Pregunta A44.1.21 ¿En qué año(s)? - 2018,1,C,a44_1_21,a44_1_21,"0,1"
Pregunta A44.2.21 ¿En qué año(s)? - 2019,1,C,a44_2_21,a44_2_21,"0,1"
Pregunta A44.3.21 ¿En qué año(s)? - 2020,1,C,a44_3_21,a44_3_21,"0,1"
Pregunta A44.4.21 ¿En qué año(s)? - 2021,1,C,a44_4_21,a44_4_21,"0,1"
"Pregunta A45.21 ¿Tuvo alguna pérdida, como por salud o su empleo o el de sus hijos o cónyuge, que afectó su situación financiera?",1,C,a45_21,a45_21,"1,2,8,9"
Pregunta A45A.21 ¿Ocurrió esto a causa del COVID-19?,1,C,a45a_21,a45a_21,"1,2,8,9"
Pregunta A45.1.21 ¿En qué año(s)? - 2018,1,C,a45_1_21,a45_1_21,"0,1"
Pregunta A45.2.21 ¿En qué año(s)? - 2019,1,C,a45_2_21,a45_2_21,"0,1"
Pregunta A45.3.21 ¿En qué año(s)? - 2020,1,C,a45_3_21,a45_3_21,"0,1"
Pregunta A45.4.21 ¿En qué año(s)? - 2021,1,C,a45_4_21,a45_4_21,"0,1"
Pregunta AA1.21 Entrevistador: registra si el informante es:,1,C,aa1_21,aa1_21,"1,2"
"Pregunta AA2.1.21 ¿En qué día, mes y año nació usted? - DÍA",2,C,aa2_1_21,aa2_1_21,"01...31,99"
"Pregunta AA2.2.21 ¿En qué día, mes y año nació usted? - MES",2,C,aa2_2_21,aa2_2_21,"01...12,99"
"Pregunta AA2.3.21 ¿En qué día, mes y año nació usted? - AÑO",4,C,aa2_3_21,aa2_3_21,"1935...1995,9999"
Pregunta AA4A1.21 ¿Cuál es el último año o grado que usted aprobó en la escuela? - NIVEL,2,C,aa4a1_21,aa4a1_21,"00...08,88,99"
Pregunta AA4A2.21 ¿Cuál es el último año o grado que usted aprobó en la escuela? - GRADO,1,C,aa4a2_21,aa4a2_21,0...9
Pregunta AA4B.21 ¿Sabe leer y escribir un recado?,1,C,aa4b_21,aa4b_21,"1,2,8,9"
Pregunta AA5.21 ¿Sabe contar del 1 al 10?,1,C,aa5_21,aa5_21,"1,2,8,9"
"Pregunta AA6.21 (Antes de cumplir 10 años), ¿alguna vez vivió en la misma casa o barrio con su abuela(o) por más de 6 meses?",1,C,aa6_21,aa6_21,"1,2,8,9"
"Pregunta AA7.21 (Antes de cumplir 10 años), ¿tuvo usted un problema serio de salud que afectó sus actividades normales por un mes o más?",1,C,aa7_21,aa7_21,"1,2,8,9"
"Pregunta AA8A1.21 Antes de cumplir 10 años), ¿tuvo usted alguna de las siguientes enfermedades o padecimientos? - Fiebre Tifoidea",1,C,aa8a1_21,aa8a1_21,"1,2,8,9"
"Pregunta AA8A2.21 (Antes de cumplir 10 años), ¿tuvo usted alguna de las siguientes enfermedades o padecimientos? - Golpe serio en la cabeza de tal forma que se desmayó",1,C,aa8a2_21,aa8a2_21,"1,2,8,9"
"Pregunta AA8A3.21 (Antes de cumplir 10 años), ¿tuvo usted alguna de las siguientes enfermedades o padecimientos? - Tuberculosis",1,C,aa8a3_21,aa8a3_21,"1,2,8,9"
"Pregunta AA8A4.21 (Antes de cumplir 10 años), ¿tuvo usted alguna de las siguientes enfermedades o padecimientos? - Fiebre Reumática",1,C,aa8a4_21,aa8a4_21,"1,2,8,9"
"Pregunta AA8A5.21 (Antes de cumplir 10 años), ¿tuvo usted alguna de las siguientes enfermedades o padecimientos? - Polio",1,C,aa8a5_21,aa8a5_21,"1,2,8,9"
"Pregunta AA8B.21 (Antes de cumplir 10 años), la mayor parte del tiempo ¿qué tipo de trabajo realizó su padre o tutor?",2,C,aa8b_21,aa8b_21,"01...09,88,99"
"Pregunta AA8B.A.21 (Antes de cumplir 10 años), la mayor parte del tiempo ¿qué tipo de trabajo realizó su padre o tutor? - ESPECIFICA",160,C,aa8b_a_21,,"A...Z,0...9"
"Pregunta AA8C.21 (Antes de cumplir 10 años), ¿comparado con otros niños de su edad, cómo era su salud?",1,C,aa8c_21,aa8c_21,"1...3,8,9"
Pregunta AA9A.21 Antes de cumplir 10 años: ¿Su vivienda tenía excusado dentro de la vivienda?,1,C,aa9a_21,aa9a_21,"1,2,8,9"
Pregunta AA9B.21 Antes de cumplir 10 años: ¿Su vivienda tenía electricidad?,1,C,aa9b_21,aa9b_21,"1,2,8,9"
Pregunta AA9C.21 Antes de cumplir 10 años: ¿Se dormía generalmente con hambre?,1,C,aa9c_21,aa9c_21,"1,2,8,9"
Pregunta AA9D.21 Antes de cumplir 10 años: ¿Usaba zapatos o algún otro tipo de calzado regularmente?,1,C,aa9d_21,aa9d_21,"1,2,8,9"
Pregunta AA9E.21 Antes de cumplir 10 años: ¿Usted o alguno de sus hermanos tuvo que dejar la escuela para ayudar a sus padres?,1,C,aa9e_21,aa9e_21,"1,2,8,9"
Pregunta AA9F.21 Antes de cumplir 10 años: ¿Usted o algún miembro de su familia dormía en el mismo cuarto que se usaba para cocinar?,1,C,aa9f_21,aa9f_21,"1,2,8,9"
Pregunta AA9G.21 Antes de cumplir 10 años: ¿Usted o su familia recibieron ayuda de familiares debido a problemas económicos?,1,C,aa9g_21,aa9g_21,"1,2,8,9"
Pregunta AA9H.21 Antes de cumplir 10 años: ¿Alguno de sus padres o tutores fumaba?,1,C,aa9h_21,aa9h_21,"1,2,8,9"
Pregunta AA9I.21 Antes de cumplir 10 años: ¿Alguien más en su hogar fumaba?,1,C,aa9i_21,aa9i_21,"1,2,8,9"
Pregunta AA10.21 ¿Actualmente usted...?,1,C,aa10_21,aa10_21,"2,3"
Pregunta AA11.1.21 ¿En qué año o a qué edad terminó su último(a) matrimonio (unión)? - AÑO,4,C,aa11_1_21,aa11_1_21,"1947...2021,8888,9999"
Pregunta AA11.2.21 ¿En qué año o a qué edad terminó su último(a) matrimonio (unión)? - EDAD,3,C,aa11_2_21,aa11_2_21,"012...099,888,999"
Pregunta AA12.1.21 ¿En qué año o a qué edad comenzó ese matrimonio (unión)? - AÑO,4,C,aa12_1_21,aa12_1_21,"1962...2021,8888,9999"
Pregunta AA12.2.21 ¿En qué año o a qué edad comenzó ese matrimonio (unión)? - EDAD,3,C,aa12_2_21,aa12_2_21,"013...070,888,999"
Pregunta AA13A.21 ¿Antes de su (matrimonio actual/último matrimonio/unión actual/última unión) tuvo usted otra unión o matrimonio?,1,C,aa13a_21,aa13a_21,"1,2,8,9"
Pregunta AA13B.21 ¿Cuál era su estado conyugal antes de su unión actual...?,1,C,aa13b_21,aa13b_21,"1...6,8,9"
Pregunta AA13C.21 ¿Este matrimonio (unión) se terminó por...?,1,C,aa13c_21,aa13c_21,"1...3,8,9"
"Pregunta AA14.21 Sin contar la unión actual (última unión), ¿cuántas veces estuvo usted unido(a) o casado(a)?",2,C,aa14_21,aa14_21,"01...09,88,99"
Pregunta AA15.1.21 ¿En qué año o a qué edad comenzó su primera unión o matrimonio? - AÑO,4,C,aa15_1_21,aa15_1_21,"1968...2021,8888,9999"
Pregunta AA15.2.21 ¿En qué año o a qué edad comenzó su primera unión o matrimonio? - EDAD,3,C,aa15_2_21,aa15_2_21,"012...036,888,999"
Pregunta AA16.21 ¿Ésta fue...?,1,C,aa16_21,aa16_21,"1,2,8,9"
Pregunta AA17.21 ¿Este(a) matrimonio(unión) se terminó por...?,1,C,aa17_21,aa17_21,"1...3,8,9"
Pregunta AA18.1.21 ¿En qué año o a qué edad terminó este(a) matrimonio (unión)? - AÑO,4,C,aa18_1_21,aa18_1_21,"1984...2021,8888,9999"
Pregunta AA18.2.21 ¿En qué año o a qué edad terminó este(a) matrimonio (unión)? - EDAD,3,C,aa18_2_21,aa18_2_21,"015...062,888,999"
Pregunta AA19.21 ¿Cuántos hijos e hijas que nacieron vivos ha tenido usted?,2,C,aa19_21,aa19_21,"00…12,88,99"
"Pregunta AA20.21 De los hijos e hijas que nacieron vivos, ¿cuántos viven todavía?",2,C,aa20_21,aa20_21,"00…12,88,96,99"
Pregunta AA21.21 ¿Como cuántos años ha vivido en esta localidad o siempre ha vivido aquí?,2,C,aa21_21,aa21_21,00...99
"Pregunta AA25.21 Sin contar vacaciones o visitas cortas, ¿alguna vez ha trabajado o vivido usted en Estados Unidos?",1,C,aa25_21,aa25_21,"1,2,7...9"
"Pregunta AA26.1.21 Piense por favor en la primera estadía en Estados Unidos, aproximadamente ¿en qué año o a qué edad se fue a Estados Unidos? - AÑO",4,C,aa26_1_21,aa26_1_21,"1972...2021,7777,8888,9999"
"Pregunta AA26.2.21 Piense por favor en la primera estadía en Estados Unidos, aproximadamente ¿en qué año o a qué edad se fue a Estados Unidos? - EDAD",3,C,aa26_2_21,,005...054
Pregunta AA27.21 ¿Cuál diría usted que fue la razón principal por la que fue a Estados Unidos?,1,C,aa27_21,aa27_21,1...9
"Pregunta AA28.21 Para esa primera estadía en Estados Unidos, cuando usted salió de la república mexicana, ¿conocía a alguien que le ayudaría a establecerse en el lugar a donde fue?",1,C,aa28_21,aa28_21,"1...3,8,9"
Pregunta AA30.1.21 Aproximadamente ¿en qué año o a qué edad regresó de Estados Unidos en esa ocasión? - AÑO,4,C,aa30_1_21,aa30_1_21,"1979...2021,8888,9999"
Pregunta AA30.2.21 Aproximadamente ¿en qué año o a qué edad regresó de Estados Unidos en esa ocasión? - EDAD,3,C,aa30_2_21,,035...065
"Pregunta AA31B.21 En total, ¿como cuántos años ha trabajado o vivido usted en Estados Unidos?",2,C,aa31b_21,aa31b_21,"01...57,88,99"
"Pregunta AA31C.21 Piense por favor en la estadía más larga en Estados Unidos, la mayor parte del tiempo, ¿qué tipo de trabajo realizó usted?",2,C,aa31c_21,aa31c_21,"01...08,88,99"
"Pregunta AA31C.A.21 Piense por favor en la estadía más larga en Estados Unidos, la mayor parte del tiempo, ¿qué tipo de trabajo realizó usted? - ESPECIFICA",160,C,aa31c_a_21,,"A...Z,0...9"
"Pregunta AA31D.21 Para esa estadía en Estados Unidos, ¿generalmente usted enviaba dinero a su familia en México?",1,C,aa31d_21,aa31d_21,"1,2"
Pregunta AA31H1.21 ¿Su intención era que ese dinero se usara como ahorro para cuando regresara a México?,1,C,aa31h1_21,aa31h1_21,"0,1"
Pregunta AA31H2.21 ¿Su intención era que ese dinero se usara para mantener a su familia?,1,C,aa31h2_21,aa31h2_21,"0,1"
Pregunta AA31H3.21 ¿Su intención era que ese dinero se usara para mejorar su propiedad en México?,1,C,aa31h3_21,aa31h3_21,"0,1"
Pregunta AA31H4.21 ¿Su intención era que ese dinero se usara para comprar muebles u otras cosas caras en la casa?,1,C,aa31h4_21,aa31h4_21,"0,1"
Pregunta AA31H5.21 ¿Su intención era que ese dinero se usara...? - OTRO,1,C,aa31h5_21,aa31h5_21,"0,1"
Pregunta AA31H6.21 ¿Su intención era que ese dinero se usara para ayudar a sus familiares por la situación de la pandemia de COVID-19?,1,C,aa31h6_21,aa31h6_21,"0,1"
Pregunta AA31H8.21 ¿Su intención era que ese dinero se usara...? - NO RESPONDE,1,C,aa31h8_21,aa31h8_21,"0,1"
Pregunta AA31H9.21 ¿Su intención era que ese dinero se usara...? - NO SABE,1,C,aa31h9_21,aa31h9_21,"0,1"
"Pregunta AA32A.21 Ahora piense acerca de la última vez que fue a trabajar o a vivir en Estados Unidos, ¿cuál diría usted que fue la razón principal por la que fue?",1,C,aa32a_21,aa32a_21,1...9
"Pregunta AA32B1.21 Por favor piense acerca de la última vez que regresó de Estados Unidos después de que vivió allá, ¿en qué año o qué edad tenía usted cuando regresó? - AÑO",4,C,aa32b1_21,aa32b1_21,"1983...2021,8888,9999"
"Pregunta AA32B2.21 Por favor piense acerca de la última vez que regresó de Estados Unidos después de que vivió allá, ¿en qué año o qué edad tenía usted cuando regresó? - EDAD",3,C,aa32b2_21,aa32b2_21,"023...065,888,999"
"Pregunta AA32C01.21 Ahora piense acerca de la última vez que regresó de Estados Unidos a México, ¿se regresó porque usted estaba enfermo?",1,C,aa32c01_21,aa32c01_21,"0,1"
"Pregunta AA32C02.21 Ahora piense acerca de la última vez que regresó de Estados Unidos a México, ¿se regresó porque usted extrañaba a su familia?",1,C,aa32c02_21,aa32c02_21,"0,1"
"Pregunta AA32C03.21 Ahora piense acerca de la última vez que regresó de Estados Unidos a México, ¿se regresó porque le fue difícil permanecer en Estados Unidos?",1,C,aa32c03_21,aa32c03_21,"0,1"
"Pregunta AA32C04.21 Ahora piense acerca de la última vez que regresó de Estados Unidos a México, ¿se regresó porque era muy caro quedarse en Estados Unidos?",1,C,aa32c04_21,aa32c04_21,"0,1"
"Pregunta AA32C05.21 Ahora piense acerca de la última vez que regresó de Estados Unidos a México, ¿se regresó porque no ganaba suficiente allá?",1,C,aa32c05_21,aa32c05_21,"0,1"
"Pregunta AA32C06.21 Ahora piense acerca de la última vez que regresó de Estados Unidos a México, ¿se regresó porque tuvo problemas relacionados con migración?",1,C,aa32c06_21,aa32c06_21,"0,1"
"Pregunta AA32C07.21 Ahora piense acerca de la última vez que regresó de Estados Unidos a México, ¿se regresó porque tuvo problemas familiares en México?",1,C,aa32c07_21,aa32c07_21,"0,1"
"Pregunta AA32C08.21 Ahora piense acerca de la última vez que regresó de Estados Unidos a México, ¿se regresó porque...? - OTRA",1,C,aa32c08_21,aa32c08_21,"0,1"
"Pregunta AA32C09.21 Ahora piense acerca de la última vez que regresó de Estados Unidos a México, ¿se regresó porque su situación económica o laboral se vio afectada debido a la pandemia de COVID-19?",1,C,aa32c09_21,aa32c09_21,"0,1"
"Pregunta AA32C88.21 Ahora piense acerca de la última vez que regresó de Estados Unidos a México, ¿se regresó porque...? - NO RESPONDE",1,C,aa32c88_21,aa32c88_21,"0,1"
"Pregunta AA32C99.21 Ahora piense acerca de la última vez que regresó de Estados Unidos a México, ¿se regresó porque...? - NO SABE",1,C,aa32c99_21,aa32c99_21,"0,1"
Pregunta AA32D.21  Registra si marcó más de una razón en AA.32c,1,C,aa32d_21,aa32d_21,"1,2"
Pregunta AA32E.21 ¿Cuál diría usted que fue la razón principal por la que regresó?,2,C,aa32e_21,aa32e_21,"01...09,88,99"
"Pregunta AA32F.21 La última vez que regresó de Estados Unidos a México, ¿diría usted que su salud era...?",1,C,aa32f_21,aa32f_21,"1...5,8,9"
"Pregunta AA33.21 Durante el tiempo que estuvo en Estados Unidos, ¿alguna vez se contribuyó al sistema de seguridad social (social security) en algún trabajo, con su nombre o el de otra persona?",1,C,aa33_21,aa33_21,"1...4,8,9"
Pregunta AA34.21 Actualmente ¿cuenta usted con permiso de residencia permanente o es ciudadano de Estados Unidos?,1,C,aa34_21,aa34_21,"1...3,8,9"
Pregunta AA35.21 ¿Alguna vez tuvo que criar a sus hijos pequeños sin que estuviera con usted su cónyuge?,1,C,aa35_21,aa35_21,"1...3,8,9"
"Pregunta AA36.21 En total, ¿como por cuánto tiempo los crio sin su cónyuge?",2,C,aa36_21,aa36_21,"01...30,77,88,99"
